b u
b a
b o [c]
b o &#611
b a h
b a &#295
b a&#720 &#295
b o &#295
b o&#720 &#295
b [v] j r
b a k
b o k&#695
b a l
b a l
b e l
b i&#720 l
b u &#620
b [v] n
b i n
b a r
b e r
b i r
b [v] r k
b a s'
b i &#643
b a&#720 t'
b a t&#620'
b [v&#720] ts
b o x
b o&#720 x
b [v] x&#695
b a&#720 y n
b e&#720 z
b a &#660
b i &#660
b u &#660
b a &#661
b a &#661
b a&#720 &#661
b u &#661
p a [c]
p [v] &#295
p [v] &#295
p e&#720 l
p i l
p i&#720 l
p i &#620
p a n d
p a &#331&#695
p u c&#597'
p [v] r
p u r
p i r
p o&#720 r
p u r
p a [c]
p o&#720 &#643
p u t
p a t&#620'
p a&#720 t&#620'
p a x
p a x
p a&#720 x
p i&#720 z
p [v] &#660
p a &#660 r
p i&#720 &#660
p [v] &#661
p u &#661
a f
f i
f i c&#597'
f i&#720 c&#597'
f a d
f u g
f o &#611
f [v] &#611
f u &#611
f a&#720 h
f a&#720 &#295
f i&#720 &#295
f a k
f a&#720 k'
f [v] k'
f [v&#720] k'
f [v] l
f i l
f e &#331
f o&#720 [n]
f a r
f i r
f o&#720 r
f [v] s
f a t'
f [v&#720] t'
f i t'
f o [x]
f a y t
f a z w
f i z
f e&#720 &#660
f [v] &#660
f u &#660
f i&#720 &#660
f u&#720 &#661
p a c&#597'
p' u c&#597'
p' a d
p' [v] d
p' [v] d
p' o h
p' i &#295
p' a k
p' [v] k'
p' u l
p' a &#620
p' a&#720 r
p' u r
p' i s' k'
p' i&#720 z
p' u &#660
p' u&#720 &#660
p' u &#661
d [v] a d a &#660
d [v] d
d a d n
d [v] b
d o&#720 b
d a c&#597
d [v] f
d u g
d a g&#695
d i &#611
d i &#611&#695
d a h
d a &#295
d [v&#720] &#295
d i k
d u k&#695
d u&#720 k
d o k'
d u [k']
d i l
d u l
d [v] &#620
d a m
d [v] m
d [v] m
d u m
d u m n
d a n d
d a p
d u p'
d u p' s
d [v] p'
d a r
d a r
d i r
d [v&#720] s'
d a w
d a x
d a x
d u&#720 x
d a &#661
d a &#661
i&#720 t
t a
t i b
t i&#720 b
t u f
t a &#611
t [v] &#611
t a h
t a &#295
t [v] k
t [v] k
t a k&#695
t [v] k&#695
t e l
t u&#720 l
t u m
t a r
t a r
t a r
t a&#720 r
t [v] r
t i r
t a &#661
z a
z a b
z a b
z a&#720 b
z a&#720 d
z a f
z i f
z a [c] g
z [v] g&#695
z a &#611
z o&#720 &#611
z a&#720 &#295
z a k&#695
z a k'
z a&#720 k
z a l
z o &#620
z o&#720 &#620
z a n f
z i n
z [v] &#331
z a &#331
z a&#720 r
z o [c]
z a&#720 x
z a [c]
z a &#661
z a&#720 &#661
z a&#720 &#661
s i
i s i
s u
u s u
s [v] f
s a &#611
s [v] k'
s u k
s [v] k'
s [v] k&#695'
s i l
s i l
s i m
s [v] m
s u m
s [v] n
s [v] n
s i&#720 &#331&#695
s a p
s [v] p
s o p
s a r
s a r
s [v] r
s [v] r a&#720 r
s [v] [c]
s a x
s i x
s i&#720 x
s o x
s a&#720 z
s i &#660
s o &#660
s a &#661
t' [v] b
t' i b
t' o g&#695
t' o &#611
t' o [&#611]
t' e h
t e&#720 h
t' [v] h
t' i &#295
t' i &#295
t' [v] &#295
t' e l
t' [v] &#620
t' a p
t' [v] p' [v]
t' e&#720 r
t' i r
t' u r
t' [v] s'
t' a&#720 w
t' [v] y
t' a y p'
t' e &#660
g a b
g a b
g [v] b
g [v] d
g a d
g a&#720 d
g [v&#720] d
g a dz
g a f
g a f
g [v] f
g u f
g e h
g [v] &#295
g a l
g a&#720 l
g a m
g [v] m
g i m
g [v] &#331
g u&#720 p'
g a r
g e r &#661
g i r
g u s
g a &#643
g u &#643
g e z
g [v] &#661
g u &#661
g u &#661
g u&#720 &#661
g&#695 a a
g&#695 a b
g&#695 [v] d
g&#695 [v] d
g&#695 a h
g&#695 a &#295
g&#695 e &#295
g&#695 a j
g&#695 i l
g&#695 a r
g&#695 [v] r
g&#695 a&#720 ts
g&#695 i ts
g&#695 [v] &#660
g&#695 [v&#720] &#661
g&#695 a &#661 b
k a&#720
k i
k u
k a
k [v] c&#597
k a&#720 c&#597'
k [v&#720] f
k a &#295
k a l
k [v] l
k o l
k u l
k o &#620
k a m
k u m
k u&#720 n a
k [v] n f
k a n s
k e p
k o p
k a r
k u r
k [v] r
k i t
k i t &#295
k e&#720 t&#620'
k i ts
k a w
k a &#660
k a &#661
k i &#661
k&#695 a&#720 [c]
k&#695 a d
k&#695 a&#720 d
k&#695 a &#295
k&#695 a&#720 &#295
k&#695 a l
i n k&#695 a l
k&#695 a&#720 &#620
k&#695 e&#720 r
k&#695 i r
k&#695 i &#643
k&#695 a t&#620'
k&#695 a&#720 t&#620'
k&#695 a &#661
&#611 a&
&#611 a b
&#611 [v] b
&#611 a f
&#611 o &#611
&#611 o&#720 &#611
&#611 a h
&#611 a h
&#611 a&#720 &#295
&#611 [v] &#295
&#611 [v] &#295
&#611 e l f
&#611 a &#620
&#611 i m
&#611 [v] n
&#611 [v] &#331
&#611 i [c]
&#611 u n ts
&#611 u n t
&#611 a p
&#611 a r
&#611 [v&#720] r
&#611 a&#720 t'
&#611 o x&#695
&#611 a&#720 &#661
&#611 a&#720 &#661
&#611&#695 a
&#611&#695 [v] b
&#611&#695 a l
&#611&#695 i n
&#611&#695 a p
&#611&#695 a&#720 p
&#611&#695 a&#720 p
&#611&#695 a x
&#611&#695 a&#720 x
&#611&#695 e&#720 x
&#611&#695 [v] y
x a b
x a d&#622
x a f
x a h
x a j
x a l
x &#238 &#620
x o &#620
x a [c]
x a p
x o&#720 r
x a s
x i s'
x i &#643
x a y n z
x a &#661
x&#695
x&#695 a l
x&#695 a&#720 l
x&#695 [v] n
x&#695 a r
x&#695 [v] r
x&#695 a&#720 r
x&#695 i r
x&#695 a&#720 t
x&#695 a y l
k' a b
k' a b
k' i b
k' a [c]
k' a d
k' a& d&#622
k' a f
k' a&#720 f
k' a h
k' e &#295
k' a j
k' a l
k' u m
k u&#720 m
k' [v] [c]
k' o&#720 &#331
k' a r
k' a r
k' [v&#720] r
k' [v&#720] r
k' a&#720 s
k' o s
k' e&#720 s'
k' [v&#720] t
k' a t'
k' u t&#620'
k' e y
k' u &#660
k' o &#661
k&#695' [v]
a k&#695'
k&#695'
k&#695' a d&#622
k&#695' a &#295
k&#695' a l
k&#695' a l
k&#695' [v] l
k&#695' [v] l f
k&#695' a &#620
k&#695' a m
k&#695' a n
k&#695' a n &#295
k&#695' [v] r
k&#695' a&#720 t'
k&#695' a&#720 t&#620'
k&#695' a&#720 y t'
k&#695' a z
dz a c&#597
dz a&#720 d&#622
dz a&#720 &#611
dz [v] k'
dz a m
dz a r
dz i x&#695
dz a &#660
j a b
j a f
j e k
j o k'
